rd100.tsp,eil101.tsp,a280.tsp,d198.tsp,ch150.tsp
8368.66921944277,674.228512052953,2890.06881319239,16330.2314656411,6866.006959883
8702.31619605859,679.518986926058,3185.85030907507,17119.4213911839,7217.77476605499
8708.53221876916,688.859151108229,2897.17864810166,16306.3147961982,6950.34581597077
7910,629,2579,15780,6528
